start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(70, 20)",20,32.459055804908104,19.0,20.94329984760243,1,0,6,0.0005414485931396,0.0004246234893798,0.0003647804260253
"(0, 0)","(70, 20)",20,69.23128103631078,74.28427124746189,80.41307804801858,2,27,22,0.0575945377349853,0.0569109916687011,0.0027518272399902
"(0, 0)","(70, 20)",20,61.44686195424304,60.0,70.48008775157285,1,0,18,0.0006165504455566,0.0022363662719726,0.0030393600463867
"(0, 0)","(70, 20)",20,59.60451313273101,61.89949493661167,70.72092796806052,6,13,21,0.0527703762054443,0.0211060047149658,0.0030498504638671
"(0, 0)","(70, 20)",20,58.37490171490983,58.0,68.74767118823907,11,0,18,0.0743324756622314,0.002016544342041,0.0014400482177734
"(0, 0)","(70, 20)",20,59.10094017404025,59.41421356237309,69.93379906352077,11,1,19,0.0790765285491943,0.0045187473297119,0.0030059814453125
"(0, 0)","(70, 20)",20,37.485663129180764,9.82842712474619,9.564296170307667,10,4,2,0.0006556510925292,0.0004763603210449,0.0002119541168212
"(0, 0)","(70, 30)",20,28.65010932069412,30.38477631085024,35.062599097684284,3,7,10,0.002122163772583,0.0025153160095214,0.0005085468292236
"(0, 0)","(70, 30)",20,31.947799187679493,34.21320343559643,34.81668705480275,1,20,10,0.0029029846191406,0.0083630084991455,0.0008759498596191
"(0, 0)","(70, 30)",20,5.896440339592412,6.242640687119285,5.896492457702648,0,4,1,0.008486270904541,0.0002391338348388,8.702278137207031e-05
"(0, 0)","(70, 30)",20,36.39101509512358,8.65685424949238,8.435542362932667,2,4,1,0.0002684593200683,0.0005455017089843,0.0002353191375732
"(0, 0)","(70, 30)",20,30.43743937192216,31.656854249492383,31.935261860959105,1,5,9,0.0008075237274169,0.0054459571838378,0.0013012886047363
"(0, 0)","(70, 30)",20,14.848697214632557,14.313708498984765,23.4230104354385,3,4,5,0.0305776596069335,0.0011200904846191,0.0006349086761474
"(0, 0)","(70, 30)",20,35.502696847757946,37.48528137423857,40.70955357496076,0,7,10,0.0006411075592041,0.00761079788208,0.0017471313476562
"(0, 0)","(70, 30)",20,90.94910490276511,74.65685424949238,80.17533082436555,22,7,22,0.0016725063323974,0.0267045497894287,0.0019207000732421
"(0, 0)","(70, 30)",20,63.69802457228831,63.41421356237309,67.57320972962863,4,1,19,0.0927643775939941,0.0061118602752685,0.0037202835083007
"(0, 0)","(70, 50)",20,21.24132650775343,17.970562748477146,30.236975441394872,1,2,7,0.0007262229919433,0.0006735324859619,0.0006687641143798
"(0, 0)","(70, 50)",20,36.67065797725179,37.8700576850888,54.168472994564375,2,14,14,0.0329554080963134,0.0086715221405029,0.0014152526855468
"(0, 0)","(70, 50)",20,29.84178716296609,20.82842712474619,39.31544981930165,3,3,10,0.0005750656127929,0.001734972000122,0.00050950050354
"(0, 0)","(70, 50)",20,18.7464480391884,20.48528137423857,22.964826482587146,0,7,5,0.0002784729003906,0.0029335021972656,0.0005309581756591
"(0, 0)","(70, 50)",20,21.05344300728304,21.0,24.692239252549363,1,0,5,0.0004470348358154,0.000568151473999,0.0009825229644775
"(0, 0)","(70, 50)",20,58.43649840833151,62.55634918610405,69.64837960041322,7,21,18,0.1225395202636718,0.0326685905456543,0.0029933452606201
"(0, 0)","(70, 50)",20,106.8119321427841,87.41421356237309,98.05381192791728,6,1,27,0.0412690639495849,0.0104248523712158,0.0028247833251953
"(0, 0)","(70, 50)",20,36.1167943443966,16.72792206135786,26.06360502154034,2,6,7,0.0007655620574951,0.0015249252319335,0.0010690689086914
"(0, 0)","(70, 50)",20,114.95854102579034,116.07106781186548,130.8685946097685,13,7,36,0.147510290145874,0.0533277988433837,0.0067701339721679
"(0, 0)","(70, 50)",20,33.01708095261563,33.89949493661167,40.340664229346125,1,11,12,0.0065779685974121,0.005861759185791,0.0003447532653808
"(0, 0)","(70, 70)",20,52.323538991071686,49.01219330881973,97.8754240252714,5,10,26,0.0165810585021972,0.0046436786651611,0.0015246868133544
"(0, 0)","(70, 70)",20,23.25007232533905,22.07106781186548,33.923215730481395,3,7,9,0.0039904117584228,0.0024902820587158,0.0003843307495117
"(0, 0)","(70, 70)",20,30.59013170684147,32.55634918610405,33.89562057446755,2,17,8,0.041466474533081,0.0077829360961914,0.0009510517120361
"(0, 0)","(70, 70)",20,20.96888712563844,20.79898987322333,23.971365448313943,0,2,6,0.0001924037933349,0.000819444656372,0.0004315376281738
"(0, 0)","(70, 70)",20,16.376517035071952,16.414213562373096,17.22882159767767,0,1,4,0.000187873840332,0.0008904933929443,0.0007002353668212
"(0, 0)","(70, 70)",20,52.5853919906627,43.24264068711928,47.68720343245143,1,5,12,0.0008795261383056,0.0069162845611572,0.0017192363739013
"(0, 0)","(70, 70)",20,55.98877737008631,56.65685424949238,60.56613735479033,1,7,16,0.0005772113800048,0.0263435840606689,0.004213809967041
"(0, 0)","(70, 70)",20,7.411539097898493,7.65685424949238,7.456857470757351,0,4,1,0.0002431869506835,0.0003383159637451,0.0001819133758544
"(0, 0)","(70, 70)",20,115.3424418587554,119.01219330881972,145.82050480368366,25,57,39,0.3309938907623291,0.2811996936798095,0.0057985782623291
"(0, 0)","(70, 70)",20,22.16569171656745,23.72792206135786,28.89439791290521,0,17,7,0.0002355575561523,0.0034554004669189,0.0004971027374267
"(0, 0)","(70, 90)",20,49.20443821172774,41.597979746446654,48.83230252250148,5,4,13,0.049511432647705,0.0033721923828125,0.0004065036773681
"(0, 0)","(70, 90)",20,20.88502876865385,22.55634918610405,26.542135931302383,3,7,7,0.0010366439819335,0.0032837390899658,0.0009751319885253
"(0, 0)","(80, 40)",20,31.244276767247243,32.55634918610405,107.55736640518738,2,5,31,0.0028793811798095,0.0059287548065185,0.0021476745605468
"(0, 0)","(80, 40)",20,32.99486120541557,35.21320343559643,72.10999610083337,2,22,19,0.0032684803009033,0.0160784721374511,0.0017058849334716
"(0, 0)","(80, 40)",20,20.717352633927923,19.242640687119287,25.376739803894534,1,4,7,0.0004467964172363,0.0021452903747558,0.0005733966827392
"(0, 0)","(80, 40)",20,39.13668485428612,23.142135623730955,27.147934010405127,1,14,7,0.0003628730773925,0.0040762424468994,0.0006473064422607
"(0, 0)","(80, 40)",20,38.84112755302004,36.41421356237309,39.89027336919774,5,1,12,0.0803582668304443,0.003227949142456,0.001706838607788
"(0, 0)","(80, 40)",20,73.63086261117402,75.48528137423857,81.0996382446867,3,11,23,0.1212871074676513,0.0384600162506103,0.0030179023742675
